seq,type,frames,fk_err_cm,worst_kp,worst_kp_cm,min_foot_z,spike_pct,contact_agree,limit_over_pct
walk4_subject1,walk,4918,12.876422632918224,LeftArm->left_elbow_link,30.723335035224103,0.05449247360229492,0.01051731149472031,86.75274501830013,0.029448472185216866
walk3_subject5,walk,7399,12.91639646127849,LeftArm->left_elbow_link,26.072465540840632,-0.007849032059311867,0.11604550475134104,71.81375861602919,0.12257015160483009
run2_subject4,run,7345,12.916705740664433,RightArm->right_elbow_link,24.547179275326393,0.1110287457704544,0.09295556442337034,90.91218515997276,0.33426445388605897
run2_subject1,run,7345,12.999229991433081,Spine2->torso_link,24.402841524000902,0.08711286634206772,0.09013872913781366,85.37780803267529,0.2629046266519565
obstacles3_subject4,obstacle,3933,13.00153094468788,LeftArm->left_elbow_link,25.68814007523386,-0.03595633804798126,0.11748511709057752,94.52072209509281,0.35245535127173255
jumps1_subject1,jump,7334,13.001924923718331,RightArm->right_elbow_link,26.211975707494428,0.07849322259426117,0.1744355528807726,87.58521952549768,0.0545404963185165
aiming1_subject1,aim,7184,13.04981472422559,LeftArm->left_elbow_link,25.403747239421843,0.09906915575265884,0.04751939175178557,86.33073496659243,0.35615544121035253
walk2_subject4,walk,7146,13.073556414325537,LeftArm->left_elbow_link,27.855504712666225,0.08133620768785477,0.04487680592952894,92.06549118387909,0.08010268585270756
fight1_subject5,fight,7347,13.122728904779043,Spine2->torso_link,24.472932762333244,0.12890981137752533,0.4322665127215894,78.98461957261466,0.2618943692710607
walk2_subject1,walk,7146,13.17812262996399,RightArm->right_elbow_link,25.96130916456928,0.004212169907987118,0.17082139031240048,85.30646515533165,0.32957912311686305
fight1_subject3,fight,7347,13.181505991633863,RightArm->right_elbow_link,25.366239041472365,0.09576456993818283,0.3642115242909374,82.80930992241731,0.32901066820611746
obstacles2_subject1,obstacle,7323,13.19478519380469,RightArm->right_elbow_link,27.69044727646397,-0.05475287884473801,0.1695178629448078,89.84022941417452,0.10406513253000702
aiming2_subject5,aim,9172,13.203223992890722,Spine2->torso_link,24.227919338257024,0.05678880959749222,0.12556957456727372,80.65852594853902,0.22143856113809646
walk1_subject5,walk,7840,13.206264611803045,LeftArm->left_elbow_link,27.934068052919564,0.09012187272310257,0.029028852920478534,88.08673469387756,0.2185960591133005
pushAndStumble1_subject3,push,6801,13.23191424434674,RightArm->right_elbow_link,25.751386541432943,0.01565641351044178,0.4340132536290302,89.56771063078959,0.2570615883059793
run1_subject5,run,7135,13.235243739473468,LeftArm->left_elbow_link,25.035932549774465,0.10796444863080978,0.19379938622139525,91.88507358093904,0.7051204600923084
dance1_subject3,dance,3945,13.257033500653911,Spine2->torso_link,24.50268763029044,0.054996367543935776,0.6599361916000175,82.39543726235742,0.35225733141034044
walk3_subject4,walk,7399,13.264716174074639,LeftArm->left_elbow_link,25.89692135513632,0.06337897479534149,0.11790968956662363,86.55899445871064,0.5266322103173309
sprint1_subject4,sprint,8194,13.264940517559943,LeftArm->left_elbow_link,27.96872147846653,0.07317148149013519,0.26049338035400166,92.50671222845985,0.3282469090082735
pushAndFall1_subject1,push,4959,13.2781287580645,RightArm->right_elbow_link,27.303055200599164,-0.015863120555877686,0.23781212841854932,88.32425892316999,0.12933642071886017
obstacles4_subject4,obstacle,7401,13.30235863685854,LeftArm->left_elbow_link,26.10759154129291,-0.13948746025562286,0.29725712741521415,90.61613295500608,0.4030210269814424
dance1_subject1,dance,3945,13.31753971389993,RightArm->right_elbow_link,25.21717269605146,0.104282908141613,0.527948953280014,81.4448669201521,0.20453651501245576
walk1_subject2,walk,7840,13.33466874776627,RightArm->right_elbow_link,28.08894117468357,0.0821344330906868,0.044422941590429275,88.63520408163265,0.12271287825475016
obstacles1_subject1,obstacle,5391,13.337396109345793,LeftArm->left_elbow_link,27.217562815679443,-0.14969997107982635,0.08379227192191328,94.26822481914301,0.13880093898515405
dance2_subject5,dance,6771,13.342308417718987,LeftArm->left_elbow_link,27.33850126070675,0.06917621195316315,0.4109819259621407,86.01388273519422,0.20421778477177008
walk3_subject2,walk,7399,13.345119226312791,LeftArm->left_elbow_link,27.470499783710796,0.07660213857889175,0.04893485140116791,94.83038248411948,0.05406135964319503
aiming2_subject2,aim,9172,13.347273851437064,Spine2->torso_link,24.727338020387503,0.10723412036895752,0.1605335579048679,90.9834278238116,0.35603109914732994
jumps1_subject5,jump,7334,13.35236285777866,LeftArm->left_elbow_link,26.26957190557601,0.08323469012975693,0.09215463171059685,88.26697572947914,0.07287738732215567
walk3_subject1,walk,7399,13.35969198404207,LeftArm->left_elbow_link,26.498135900972823,0.10835526883602142,0.15146501624171022,81.74753345046628,0.26984075201215446
multipleActions1_subject1,multiple,4587,13.371666623264067,RightArm->right_elbow_link,24.879438902849945,0.18882861733436584,0.409703585094307,70.72160453455417,0.3375356141419153
obstacles1_subject5,obstacle,5391,13.375491492263267,LeftArm->left_elbow_link,26.09183545584083,-0.0699678435921669,0.10042279917359073,97.40307920608421,0.13560276066752378
pushAndStumble1_subject5,push,6801,13.378733769034989,LeftArm->left_elbow_link,26.453568020115437,0.013757620006799698,0.3660719265422428,90.0088222320247,0.2986376242844612
dance2_subject1,dance,6771,13.382922916970935,RightArm->right_elbow_link,24.45408968353314,0.07461272180080414,0.6758029934966058,78.53345148427115,0.3070905840832353
walk3_subject3,walk,7399,13.39340099838905,RightArm->right_elbow_link,25.13400917163329,-0.02105850540101528,0.06897483816545573,90.47168536288687,0.22510031644537237
