mode,seed,profile,mean_first_episode_s,common_joint_rmse_rad,common_body_rmse_m,first_step_peak_state_ee_accel_m_s2,common_p95_ee_error_m_s2,first_episode_failures,max_joint_speed_rad_s,overspeed_transition_count
neutral,17,legacy,1.48,0.506641726683764,0.12753326099969586,7.158516525724795,18.176451111841565,4,2.7909224033355713,0
neutral,17,candidate,1.48,0.506641726683764,0.12753326099969586,7.158516525724795,18.176451111841565,4,2.7909224033355713,0
reference,17,legacy,1.285,0.12913744100574065,0.09869499239548654,205.61580312034275,53.08903344215106,4,36.57358169555664,0
reference,17,candidate,1.2449999999999999,0.13528662958218385,0.10436125311116108,92.21697468093907,51.192488574805076,4,36.99908447265625,0
reference,18,legacy,1.01,0.13263202975071442,0.11101697089197446,292.54710666272626,70.93917102609457,4,31.41469955444336,0
reference,18,candidate,0.9749999999999999,0.1378947555231327,0.1162649887752982,149.1869564140104,68.24894780743803,4,30.113956451416016,0
reference,19,legacy,1.1800000000000002,0.15025854006165518,0.12419807268855396,302.05566310652426,71.68751140094464,4,36.929542541503906,0
reference,19,candidate,1.1749999999999998,0.1588344139047948,0.12824248456811904,131.964353552983,65.00726620133602,4,36.97692108154297,0
